      0.01,      1.00,      0.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      0.50,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      0.60,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      0.70,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      0.80,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      0.90,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.00,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.10,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.20,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.30,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      1.00,      1.50,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.30,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.50,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.60,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.70,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.80,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      0.90,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.00,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.10,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.20,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.30,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      2.00,      1.50,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
      0.01,      3.00,      0.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
